SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL
6443,pumpwood,Cecropia,schreberiana,,,CESC9
6444,pumpwood,Cecropia,spp.,,,CECRO
6445,Spanish cedar,Cedrela,odorata,,,CEOD
5423,Deodar cedar,Cedrus,deodara,,,CEDE2
6447,pochote,Ceiba,acuminata,,,CEAC4
6448,pochote,Ceiba,aesculifolia,,,CEAE2
6449,kapoktree,Ceiba,pentandra,,,CEPE2
461,sugarberry,Celtis,laevigata,,,CELA
463,netleaf hackberry,Celtis,laevigata,reticulata,,CELAR
462,hackberry,Celtis,occidentalis,,,CEOC
6452,Celtis paniculata,Celtis,paniculata,,,CEPA6
460,hackberry spp.,Celtis,spp.,,,CELTI
6454,almex,Celtis,trinervia,,,CETR3
5432,common buttonbush,Cephalanthus,occidentalis,,,CEOC2
6457,St. John's bread,Ceratonia,siliqua,,,CESI3
6459,chuti,Cerbera,dilatata,,,CEDI12
6460,emeridech,Cerbera,floribunda,,,CEFL2
6461,leva,Cerbera,manghas,,,CEMA20
6462,chiute,Cerbera,odollam,,,CEOD2
6463,Cerbera spp,Cerbera,spp,,,CERBE
5435,katsura tree,Cercidiphyllum,japonicum,,,CEJA2
471,eastern redbud,Cercis,canadensis,,,CECA4
5436,California redbud,Cercis,orbiculata,,,CEOR9
475,curlleaf mountain-mahogany,Cercocarpus,ledifolius,,,CELE3
6468,lady of the night cactus,Cereus,hexagonus,,,CEHE3
6469,Cereus hildmannianus,Cereus,hildmannianus,,,CEHI3
6470,sweetpotato cactus,Cereus,spp.,,,CEREU
6472,biut,Ceriops,tagal,,,CETA2
6473,orange jessamine,Cestrum,aurantiacum,,,CEAU2
6474,day jessamine,Cestrum,diurnum,,,CEDI6
6475,galen del monte,Cestrum,laurifolium,,,CELA2
6477,night jessamine,Cestrum,nocturnum,,,CENO
6478,jessamine,Cestrum,spp.,,,CESTR
41,Port-Orford-cedar,Chamaecyparis,lawsoniana,,,CHLA
42,Alaska yellow-cedar,Chamaecyparis,nootkatensis,,,CHNO
5443,hinoki false cypress,Chamaecyparis,obtusa,,,CHOB8
40,white-cedar spp.,Chamaecyparis,spp.,,,CHAMA4
43,Atlantic white-cedar,Chamaecyparis,thyoides,,,CHTH2
6481,jointed sandmat,Chamaesyce,articulata,,,CHAR8
6482,koko,Chamaesyce,atrococca,,,CHAT2
6483,ekoko,Chamaesyce,celastroides,,,CHCE
6492,Herbsts sandmat,Chamaesyce,herbstii,,,CHHE3
6493,kokomalei,Chamaesyce,kuwaleana,,,CHKU
6494,alpine sandmat,Chamaesyce,olowaluana,,,CHOL3
6495,Koolau Range sandmat,Chamaesyce,rockii,,,CHRO2
6496,sandmat,Chamaesyce,spp.,,,CHAMA15
6497,Napali coast papala,Charpentiera,densiflora,,,CHDE3
6498,ellipticleaf papala,Charpentiera,elliptica,,,CHEL
6499,broadleaf papala,Charpentiera,obovata,,,CHOB2
6500,Koolau Range papala,Charpentiera,ovata,,,CHOV2
6503,papala,Charpentiera,spp.,,,CHARP
6504,Waianae Range papala,Charpentiera,tomentosa,,,CHTO3
6507,Domins club,Cheirodendron,dominii,,,CHDO3
6508,Fauries club,Cheirodendron,fauriei,,,CHFA
6509,olapa,Cheirodendron,forbesii,,,CHFO4
6510,lapalapa,Cheirodendron,platyphyllum,,,CHPL
6513,cheirodendron,Cheirodendron,spp.,,,CHEIR
6514,olapalapa,Cheirodendron,trigynum,,,CHTR2
6517,alaweo,Chenopodium,oahuense,,,CHOA
6518,goosefoot,Chenopodium,spp.,,,CHENO
5462,desert willow,Chilopsis,linearis,,,CHLI2
6519,hueso,Chionanthus,axilliflorus,,,CHAX2
6520,bridgotree,Chionanthus,compactus,,,CHCO12
6521,white rosewood,Chionanthus,domingensis,,,CHDO4
6522,hueso prieto,Chionanthus,holdridgei,,,CHHO4
6523,cabra blanca,Chionanthus,ligustrinus,,,CHLI6
6525,vitiensis,Chionanthus,vitiensis,,,CHVI22
6526,puntaj jayuya,Chione,seminervis,,,CHSE5
6528,fatpork,Chione,venosa,,,CHVE4
6529,african teak,Chlorophora,excelsa,,,CHEX5
6532,silk-floss tree,Chorisia,speciosa,,,CHSP13
6535,icaco coco plum,Chrysobalanus,icaco,,,CHIC
431,"giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,chrysophylla,,CHCHC4
6539,bastard redwood,Chrysophyllum,argenteum,,,CHAR6
6541,star apple,Chrysophyllum,cainito,,,CHCA10
6542,satinleaf,Chrysophyllum,oliviforme,,,CHOL
6543,camito de perro,Chrysophyllum,pauciflorum,,,CHPA31
6546,Chamissos manfern,Cibotium,chamissoi,,,CICH
6547,hapuu,Cibotium,glaucum,,,CIGL
6545,Hawaiian tree fern,Cibotium,heleniae,,,CIHE7
6548,hapuu li,Cibotium,menziesii,,,CIME8
6549,manfern,Cibotium,spp.,,,CIBOT
6552,quinine,Cinchona,pubescens,,,CIPU
6553,cinchona,Cinchona,spp.,,,CINCH
6554,cassia,Cinnamomum,aromaticum,,,CIAR8
6555,Padang cassia,Cinnamomum,burmannii,,,CIBU2
858,camphortree,Cinnamomum,camphora,,,CICA
6557,ochod,Cinnamomum,carolinense,,,CICA2
6559,laurel avispillo,Cinnamomum,elongatum,,,CIEL2
6560,avispillo,Cinnamomum,montanum,,,CIMO3
6561,ochod,Cinnamomum,pedatinervium,,,CIPE6
6562,matieu,Cinnamomum,sessilifolium,,,CISE2
6563,cinnamon,Cinnamomum,spp.,,,CINNA2
6564,cinnamon,Cinnamomum,verum,,,CIVE2
6565,juniper berry,Citharexylum,caudatum,,,CICA8
859,Florida fiddlewood,Citharexylum,fruticosum,,,CIFR
6567,spiny fiddlewood,Citharexylum,spinosum,,,CISP3
6568,fiddlewood,Citharexylum,spp.,,,CITHA
6569,threespike fiddlewood,Citharexylum,tristachyum,,,CITR7
6570,samoensis,Citronella,samoensis,,,CISA2
6572,Lime (Tipolo),Citrus,aurantifolia,,,CIAU
6578,"grapefruit, kahet magas",Citrus,grandis,,,CIGR
6579,limon china,Citrus,hystrix,,,CIHY2
6580,"kahet, wild orange",Citrus,macroptera,,,CIMA10
6581,Citrus maxima,Citrus,maxima,,,CIMA5
6582,Citrus medica,Citrus,medica,,,CIME3
6583,"calamondin, kingkang",Citrus,mitis,,,CIMI3
6584,Citrus reticulata,Citrus,reticulata,,,CIRE3
860,citrus spp.,Citrus,spp.,,,CITRU2
6573,key lime,Citrus,xaurantiifolia,,,CIAU7
6574,sour orange,Citrus,xaurantium,,,CIAU8
6575,lemon,Citrus,xlimon,,,CILI5
6576,grapefruit,Citrus,xparadisi,,,CIPA3
6577,sweet orange,Citrus,xsinensis,,,CISI3
481,yellowwood,Cladrastis,kentukea,,,CLKE
6586,koee,Claoxylon,carolinianum,,,CLCA15
6588,Claoxylon fallax,Claoxylon,fallax,,,CLFA6
6589,Claoxylon longiracemosum,Claoxylon,longiracemosum,,,CLLO5
6590,"katteknau, katot",Claoxylon,marianum,,,CLMA25
6591,poola,Claoxylon,sandwicense,,,CLSA
6592,claoxylon,Claoxylon,spp.,,,CLAOX
6593,Cleistanthus carolinianus,Cleistanthus,carolinianus,,,CLCA18
6594,Cleistanthus insularis,Cleistanthus,insularis,,,CLIN8
6595,Cleistanthus,Cleistanthus,spp.,,,CLEIS5
6597,oha wai nui,Clermontia,arborescens,,,CLAR4
6601,Kauai clermontia,Clermontia,clermontioides,,,CLCL
6604,Kohala Mountain clermontia,Clermontia,drepanomorpha,,,CLDR2
6605,haha aiakamanu,Clermontia,fauriei,,,CLFA
6606,bog clermontia,Clermontia,grandiflora,,,CLGR3
6610,oha kepau,Clermontia,hawaiiensis,,,CLHA4
6611,forest clermontia,Clermontia,kakeana,,,CLKA
6612,Waipio Valley clermontia,Clermontia,kohalae,,,CLKO
6596,oha wai nui Clermontia,Clermontia,leptoclada,,,CLLE3
6613,hillside clermontia,Clermontia,lindseyana,,,CLLI3
6614,Maui clermontia,Clermontia,micrantha,,,CLMI3
6615,Mauna Loa clermontia,Clermontia,montis-loa,,,CLMO5
6616,Oahu clermontia,Clermontia,oblongifolia,,,CLOB2
6620,Wailai Pali clermontia,Clermontia,pallida,,,CLPA6
6621,smallflower clermontia,Clermontia,parviflora,,,CLPA8
6622,pele clermontia,Clermontia,peleana,,,CLPE2
6625,Waioiani clermontia,Clermontia,persicifolia,,,CLPE3
6626,Hamakua clermontia,Clermontia,pyrularia,,,CLPY2
6627,Clermontia singuliflora,Clermontia,singuliflora,,,CLSI3
6628,clermontia,Clermontia,spp.,,,CLERM
6629,Haleakala clermontia,Clermontia,tuberculata,,,CLTU2
6630,swampforest clermontia,Clermontia,waimeae,,,CLWA2
6631,haggarbush,Clerodendrum,aculeatum,,,CLAC2
5523,rose glorybower,Clerodendrum,bungei,,,CLBU
6632,stickbush,Clerodendrum,chinense,,,CLCH4
6633,Natal glorybower,Clerodendrum,glabrum,,,CLGL2
6634,turks turbin,Clerodendrum,indicum,,,CLIN
6635,velvetleaf glorybower,Clerodendrum,macrostegium,,,CLMA24
6636,glorybower,Clerodendrum,spp.,,,CLERO2
5529,mountain sweetpepperbush,Clethra,acuminata,,,CLAC3
6637,teta prieta,Cleyera,albopunctata,,,CLAL4
6639,jackass breadnut,Clibadium,erosum,,,CLER
6641,Clidemia cymosa,Clidemia,cymosa,,,CLCY5
6642,soapbush,Clidemia,hirta,,,CLHI3
6645,palm tree,Clinostigma,carolinense,,,CLCA21
6644,Philippine pigeonwings,Clitoria,fairchildiana,,,CLFA5
6646,cupeillo,Clusia,clusioides,,,CLCL2
6648,Grundlach's attorney,Clusia,gundlachii,,,CLGU
6650,cupey de monte,Clusia,minor,,,CLMI2
6651,Scotch attorney,Clusia,rosea,,,CLRO
6652,attorney,Clusia,spp.,,,CLUSI
6653,deepwoods fern,Cnemidaria,horrida,,,CNHO
6655,treadsoftly,Cnidoscolus,aconitifolius,,,CNAC
6658,uvilla,Coccoloba,costata,,,COCO8
863,"tietongue, pigeon-plum",Coccoloba,diversifolia,,,CODI8
6660,whitewood,Coccoloba,krugii,,,COKR
6661,puckhout,Coccoloba,microstachya,,,COMI
6662,pale seagrape,Coccoloba,pallida,,,COPA24
6663,grandleaf seagrape,Coccoloba,pubescens,,,COPU
6664,uvera,Coccoloba,pyrifolia,,,COPY
6665,ortegon,Coccoloba,rugosa,,,CORU4
6666,uvero de monte,Coccoloba,sintenisii,,,COSI2
6668,Swartz's pigeonplum,Coccoloba,swartzii,,,COSW
6669,Bahama pigeonplum,Coccoloba,tenuifolia,,,COTE9
6670,seagrape,Coccoloba,uvifera,,,COUV
6671,false chiggergrape,Coccoloba,venosa,,,COVE
907,Florida silver palm,Coccothrinax,argentata,,,COAR
6673,Coccothrinax barbadensis,Coccothrinax,barbadensis,,,COBA3
6679,silk cottontree,Cochlospermum,vitifolium,,,COVI
908,coconut palm,Cocos,nucifera,,,CONU
6681,coconut palm,Cocos,spp.,,,COCOS
6683,garden croton,Codiaeum,variegatum,,,COVA3
6684,Arabian coffee,Coffea,arabica,,,COAR2
6686,Coffea liberica,Coffea,liberica,,,COLI8
6685,robusta coffee,Coffea,robusta,,,CORO8
6687,coffee,Coffea,spp.,,,COFFE
6688,Cojoba arborea,Cojoba,arborea,,,COAR9
6689,abata cola,Cola,acuminata,,,COAC4
6691,"uab, chuchab",Colona,scabra,,,COSC13
6693,common snakebark,Colubrina,arborescens,,,COAR3
6694,Asian nakedwood,Colubrina,asiatica,,,COAS3
864,soldierwood,Colubrina,elliptica,,,COEL2
6697,kauila,Colubrina,oppositifolia,,,COOP
6699,nakedwood,Colubrina,spp.,,,COLUB
6700,Urban's nakedwood,Colubrina,verrucosa,,,COVE6
5559,bladder senna,Colutea,arborescens,,,COAR6
6702,ochaol,Combretum,tetralophum,,,COTE15
6703,Mao,Commersonia,bartramia,,,COBA17
6705,poison ash,Comocladia,dodonaea,,,CODO
6706,carrasco,Comocladia,glabra,,,COGL4
867,Bluewood,Condalia,hookeri,,,COHO
987,buttonwood-mangrove,Conocarpus,erectus,,,COER2
6709,mangrove,Conocarpus,spp.,,,CONOC
6710,Luquillo Mountain snailwood,Conostegia,rufescens,,,CORU17
6711,Consolea moniliformis,Consolea,moniliformis,,,COMO8
6712,Consolea rubescens,Consolea,rubescens,,,CORU8
6714,copaiba,Copaifera,officinalis,,,COOF2
6716,forest mirrorplant,Coprosma,foliosa,,,COFO2
6717,koi,Coprosma,kauensis,,,COKA
6718,Oahu mirrorplant,Coprosma,longifolia,,,COLO4
6719,alpine mirrorplant,Coprosma,montana,,,COMO3
6720,Maui mirrorplant,Coprosma,ochracea,,,COOC3
6721,pubescent mirrorplant,Coprosma,pubens,,,COPU8
6722,woodland mirrorplant,Coprosma,rhynchocarpa,,,CORH
6724,mirrorplant,Coprosma,spp.,,,COPRO
6726,olena,Coprosma,waimeae,,,COWA4
6728,Spanish elm,Cordia,alliodora,,,COAL
6729,Tou,Cordia,aspera,,,COAS6
8651,Anacahuita Texas Olive,Cordia,boissieri,,,COBO2
6730,muneco,Cordia,borinquensis,,,COBO3
6731,red manjack,Cordia,collococca,,,COCO5
6733,fragrant manjack,Cordia,dichotoma,,,CODI18
6735,smooth manjack,Cordia,laevigata,,,COLA12
6736,Cordia micronesica,Cordia,micronesica,,,COMI6
6737,clammy cherry,Cordia,obliqua,,,COOB3
6738,San Bartolome,Cordia,rickseckeri,,,CORI
6739,Puerto Rico manjack,Cordia,rupicola,,,CORU5
865,largeleaf geigertree,Cordia,sebestena,,,COSE2
6741,cordia,Cordia,spp.,,,CORDI
6742,kou,Cordia,subcordata,,,COSU2
6743,mucilage manjack,Cordia,sulcata,,,COSU3
6744,tiplant,Cordyline,fruticosa,,,COFR2
6745,cordyline,Cordyline,spp.,,,CORDY2
6748,roughleaf dogwood,Cornus,drummondii,,,CODR
491,flowering dogwood,Cornus,florida,,,COFL2
5591,kousa dogwood,Cornus,kousa,,,COKO2
492,Pacific dogwood,Cornus,nuttallii,,,CONU4
490,dogwood spp.,Cornus,spp.,,,CORNU
6746,nigua,Cornutia,obovata,,,COOB4
6747,azulejo,Cornutia,pyramidata,,,COPY2
5599,American hazelnut,Corylus,americana,,,COAM3
5600,Turkish hazelnut,Corylus,colurna,,,COCO30
6749,redgum,Corymbia,calophylla,,,COCA48
6750,Corymbia citriodora,Corymbia,citriodora,,,COCI4
6751,redflower gum,Corymbia,ficifolia,,,COFI7
6752,red bloodwood,Corymbia,gummifera,,,COGU4
6754,karaka nut,Corynocarpus,laevigatus,,,COLA6
6755,corynocarpus,Corynocarpus,spp.,,,CORYN2
5603,European smoketree,Cotinus,coggygria,,,COCO10
996,smoketree,Cotinus,obovatus,,,COOB2
6756,cannonball tree,Couroupita,guianensis,,,COGU3
503,Brainerd's hawthorn,Crataegus,brainerdii,,,CRBR3
504,pear hawthorn,Crataegus,calpodendron,,,CRCA
505,fireberry hawthorn,Crataegus,chrysocarpa,,,CRCH
501,cockspur hawthorn,Crataegus,crus-galli,,,CRCR2
506,broadleaf hawthorn,Crataegus,dilatata,,,CRDI
507,fanleaf hawthorn,Crataegus,flabellata,,,CRFL
502,downy hawthorn,Crataegus,mollis,,,CRMO2
508,oneseed hawthorn,Crataegus,monogyna,,,CRMO3
509,scarlet hawthorn,Crataegus,pedicellata,,,CRPE
5091,Washington hawthorn,Crataegus,phaenopyrum,,,CRPH
500,hawthorn spp.,Crataegus,spp.,,,CRATA
5092,fleshy hawthorn,Crataegus,succulenta,,,CRSU5
5093,dwarf hawthorn,Crataegus,uniflora,,,CRUN
6758,sacred garlic pear,Crateva,religiosa,,,CRRE12
6760,"houka, calabash",Crescentia,alata,,,CRAL11
6761,common calabash tree,Crescentia,cujete,,,CRCU
6762,higuerito,Crescentia,linearifolia,,,CRLI5
6763,higuero de sierra,Crescentia,portoricensis,,,CRPO6
6765,Critonia portoricensis,Critonia,portoricensis,,,CRPO7
6767,maidenberry,Crossopetalum,rhacoma,,,CRRH
6769,Saitamu,Crossostylis,biflora,,,CRBI9
6771,longbeak rattlebox,Crotalaria,longirostrata,,,CRLO3
6773,wild marrow,Croton,astroites,,,CRAS3
6772,croton,Croton,croton spp.,,,CROTO
6774,Croton flavens,Croton,flavens,,,CRFL23
6775,sabinon,Croton,poecilanthus,,,CRPO4
6779,laulilii,Cryptocarya,elegans,,,CREL8
6781,holio,Cryptocarya,mannii,,,CRMA8
6778,Cryptocarya oreophila,Cryptocarya,oreophila,,,CROR5
6783,cryptocarya,Cryptocarya,spp.,,,CRYPT2
6784,laulilii,Cryptocarya,turbinata,,,CRTU4
6786,Japanese cedar,Cryptomeria,japonica,,,CRJA3
6787,Japanese cedar,Cryptomeria,spp.,,,CRYPT4
5776,storehousebush,Cudrania,tricuspidata,,,CUTR2
6788,Chinese fir,Cunninghamia,lanceolata,,,CULA
6790,wild ackee,Cupania,americana,,,CUAM
6792,guara blanca,Cupania,triquetra,,,CUTR
866,carrotwood,Cupaniopsis,anacardioides,,,CUAN4
5800,Leyland cypress,Cupressocyparis,leylandii,,,CULE2
51,Arizona cypress,Cupressus,arizonica,,,CUAR
52,Baker or Modoc cypress,Cupressus,bakeri,,,CUBA
53,Tecate cypress,Cupressus,forbesii,,,CUFO2
6795,cedar-of-Goa,Cupressus,lusitanica,,,CULU2
56,MacNab's cypress,Cupressus,macnabiana,,,CUMA
54,Monterey cypress,Cupressus,macrocarpa,,,CUMA2
55,Sargent's cypress,Cupressus,sargentii,,,CUSA3
6796,Italian cypress,Cupressus,sempervirens,,,CUSE2
50,cypress,Cupressus,spp.,,,CUPRE
6800,Haleakala cyanea,Cyanea,aculeatiflora,,,CYAC4
6801,palmtree cyanea,Cyanea,arborea,,,CYAR10
6802,Kauai cyanea,Cyanea,fissa,,,CYFI6
6805,Degeners cyanea,Cyanea,floribunda,,,CYFL4
6806,Kilauea Mauna cyanea,Cyanea,giffardii,,,CYGI5
6807,wetforest cyanea,Cyanea,hamatiflora,,,CYHA6
6810,Oahu cyanea,Cyanea,hardyi,,,CYHA7
6811,prickly cyanea,Cyanea,horrida,,,CYHO6
6812,Limahuli Valley cyanea,Cyanea,kuhihewa,,,CYKU3
6813,Kunths cyanea,Cyanea,kunthiana,,,CYKU
6814,giant kokee cyanea,Cyanea,leptostegia,,,CYLE5
6815,purple cyanea,Cyanea,macrostegia,,,CYMA10
6818,Marks cyanea,Cyanea,marksii,,,CYMA14
6819,hairy cyanea,Cyanea,pilosa,,,CYPI4
6822,pohaku cyanea,Cyanea,pohaku,,,CYPO5
6823,Molokai cyanea,Cyanea,procera,,,CYPR8
6824,manyfruit cyanea,Cyanea,pycnocarpa,,,CYPY
6825,oakleaf cyanea,Cyanea,quercifolia,,,CYQU
6826,plateau delissea,Cyanea,rivularis,,,CYRI4
