"","spcd","best_model","peak_lat","peak_val","min_lat","min_val","max_lat","max_val","common_name"
"73","67","II","27.5","6.69605233301888","27.5","6.69605233301888","33.5","3.91610468779637","southern redcedar"
"74","461","IV","32.9","7.44811671140984","26.5","0.723129802586542","41","0.220305315191357","sugarberry"
"75","825","I",NA,NA,"29","2.26822280374583","42.5","2.26822280374583","swamp chestnut oak"
"76","744","IV","33.9","2.95793664091191","29.5","0.946325424958548","39","0.691105343063251","swamp cottonwood"
"77","694","V","30.9","26.936720721553","25.5","0.793104778125916","38.5","6.79588861385069","swamp tupelo"
"78","653","V","29.8","12.2235030319655","25.5","4.94450582524274","40.5","2.67799597015601","sweetbay"
"79","611","V","32.9","46.5240108977057","27","0.326186207738063","41.5","5.79347223875447","sweetgum"
"80","828","V","31.1","6.9790602894488","30","0.00270671340975397","38","2.27428723840578","Texas red oak"
"81","819","III","31.4880391998272","10.0310322375265","27","10.0310329563145","37.5","0.658455233686614","turkey oak"
"82","722","III","35.7988415802633","12.4542571667775","29","1.47150841888183","37","12.862287694598","water-elm, planertree"
"83","401","IV","32.1","5.88872511867467","27","1.74196196005199","38","1.16432464240181","water hickory"
"84","827","V","31.9","22.9454964958423","26.5","1.85149369367945","39","1.73603546428873","water oak"
"85","691","II","29","18.596402598979","29","18.596402598979","38","15.3586419430789","water tupelo"
"86","551","I",NA,NA,"28","2.07114598364598","40","2.07114598364598","waterlocust"
"87","541","V","44.3","13.6219783490604","28.5","1.38995108964327","47.5","4.67969523978325","white ash"
"88","681","II","45.5","2.86986044106255","30.5","0.955017676580436","45.5","2.86986044106255","white mulberry"
"89","802","V","36.4","22.4179688471403","30","1.76305898983426","47.5","4.7105868781931","white oak"
"90","831","V","31.3","5.96663190135755","27","7.75194091152887e-12","40","2.90571713778587","willow oak"
"91","971","V","34","10.5928831761184","28.5","0.371273481579318","39","4.26236593840951","winged elm"
"92","621","V","37.3","27.6558694693145","30","4.30783463902143","43.5","0.439855020070112","yellow-poplar"
