spcd,common_name,Genus,Species,lat_round,affinity,groups
820,laurel oak,Quercus,laurifolia,26,Temp,Temp
822,overcup oak,Quercus,lyrata,30,Temp,Temp
840,dwarf post oak,Quercus,margarettiae,29,Tropical,Tropical
824,blackjack oak,Quercus,marilandica,29,Temp,Temp
825,swamp chestnut oak,Quercus,michauxii,29,Temp,Temp
841,dwarf live oak,Quercus,minima,26,Tropical,Tropical
826,chinkapin oak,Quercus,muehlenbergii,31,Temp,Temp
827,water oak,Quercus,nigra,27,Temp,Temp
813,cherrybark oak,Quercus,pagoda,29,Temp,Temp
831,willow oak,Quercus,phellos,27,Temp,Temp
834,Shumard oak,Quercus,shumardii,29,Temp,Temp
835,post oak,Quercus,stellata,29,Temp,Temp
828,Texas red oak,Quercus,texa,30,Temp,Temp
837,black oak,Quercus,veluti,31,Temp,Temp
838,live oak,Quercus,virginia,26,Temp,Temp
989,American mangrove,Rhizophora,mangle,25,Tropical,Tropical
912,cabbage palmetto,Sabal,palmetto,26,Temp,Temp
925,coastal plain willow,Salix,carolinia,25,Temp,Temp
922,black willow,Salix,nigra,28,Temp,Temp
931,sassafras,Sassafras,albidum,30,Temp,Temp
891,"white bully, willow bustic",Sideroxylon,salicifolium,27,Tropical,Tropical
940,West Indian mahogany,Swietenia,mahagoni,25,Tropical,Tropical
222,pondcypress,Taxodium,ascendens,26,Temp,Evergreen
221,baldcypress,Taxodium,distichum,26,Temp,Evergreen
913,key thatch palm,Thrix,morrisii,26,Tropical,Tropical
951,American basswood,Tilia,america,28,Temp,Temp
953,Caroli basswood,Tilia,america,29,Temp,Temp
994,Chinese tallowtree,Triadica,sebifera,27,Temp,Temp
971,winged elm,Ulmus,alata,29,Temp,Temp
972,American elm,Ulmus,america,27,Temp,Temp
973,cedar elm,Ulmus,crassifolia,29,Temp,Temp
975,slippery elm,Ulmus,rubra,30,Temp,Temp
995,tungoil tree,Vernicia,fordii,30,Tropical,Tropical
