sp,x,y,CV_TEMP,DRAINAGE_DENS,DS_AVGRIPTRECOV,DS_AVGSLOPE,DS_MINCOLDP_TEMP,MAXWARMP_TEMP,MEAN_MRVBF,NONATVEG,SLOPE_PERCENT,TOTLENGTH_UCA,TRECOV,UC_CV_PPT,UC_RIP_TRECOV,UC_ROAD_DENS,UC_SOLDEPTH,UC_TWI,UCWARMQT_PPT,US_MAXSLOPE,RIV
bg,10050,10050,1.7,1.8777,0.7264,0.1231,2.5001,28.7805,0.9847,0.9096,2.0817,0.7308,0.0739,26.1901,0.14,1.7449,0.9,10.2749,125.1151,2.0817,1
bg,10051,10051,1.72,1.5094,0.5156,0.0248,2.9359,29.3582,0.6092,0.3725,0.1778,3198.6375,0.2865,26.3001,0.3418,1.563,0.9266,10.4756,124.8568,82.6981,3
bg,10052,10052,1.8781,2.3729,0.2141,0.1192,1.495,29.5164,0.471,0.549,4.205,2.9348,0.3119,19.8852,0.635,1.263,0.9,8.9094,169.8499,10.5503,4
bg,10053,10053,1.8275,1.4815,0.1774,0.359,1.5468,27.7006,0.2858,0.3697,10.1885,0.1956,0.6,24.0485,0.4324,2.0154,0.9,9.4972,177.8545,10.1885,4
bg,10054,10054,1.74,2.1062,0.6297,0.0687,2.476,29.4737,0.7391,0.5725,3.586,0.4356,0.4217,30.4681,0.1158,1.2858,0.9,10.0845,142.9826,39.8114,1
bg,10055,10055,1.6838,4.3463,0.3695,0.1454,2.5782,27.9818,0.4942,0.1311,4.3711,0.7163,0.3568,24.915,0.1353,0.714,0.9,9.3021,144.2524,37.8505,1
bg,10056,10056,1.71,2.7762,0.7838,0.0716,2.4987,29.1655,0.8911,0.7727,2.3921,1.5447,0.2031,24.6348,0.314,2.7033,0.9,10.2132,118.8907,11.7529,1
bg,10057,10057,1.76,3.5408,0.0321,0.0357,3.0959,30.4,7.7713,0.5714,0.0271,0.3867,0.0074,20,0,0.7551,1.3,14.5512,77,0.078,3
bg,10058,10058,1.7977,1.6898,0.5464,0.4134,1.8726,29.1202,0.1625,0.0907,7.2524,1.5161,0.7869,30.5283,0.6775,0,0.9,8.9042,165.4195,9.9892,4
bg,10059,10059,1.72,2.1407,0.7329,0.675,1.9508,29.2207,0.1888,0,10.0346,4.7489,1,35.0114,1,0.1266,1.2,8.2589,200.7555,46.8192,4
bg,10060,10060,1.62,1.9943,0.3585,0.0915,2.5226,27.7919,0.4976,0.7271,1.3477,23.9336,0.1459,23.7963,0.141,0.8718,0.9,9.435,121.0201,21.5438,1
bg,10061,10061,1.56,1.7361,0.3672,0.1203,2.5298,27.1837,0.4685,0.3513,3.3969,1.1861,0.1112,18.9057,0.132,1.6554,0.9,9.4657,134.6001,4.1458,1
bg,10062,10062,1.7,6.3108,0.3533,0.0747,2.4498,28.9903,3.1663,0.9115,0.8316,0.2852,0.0619,20.9646,0,1.4115,0.9,11.3596,109.1239,2.4698,1
bg,10063,10063,1.8624,1.2967,0.2005,0.1025,1.6037,29.7655,0.771,0.8805,3.3149,0.5882,0.0208,21.5176,0,1.0366,0.9,10.1804,163.5044,54.58,4
bg,10064,10064,1.7312,1.5868,0.3049,0.3648,1.2862,24.1965,0.008,0,18.7088,1.4744,1,27.0917,1,1.6644,1.2,7.8803,228.9436,61.8965,4
bg,10065,10065,1.6465,1.1293,0.4531,0.4243,0.9511,19.8638,0,0,35.6361,1.2666,0.9897,32.4098,0.9928,0,1.2,8.8954,291.0596,45.9318,4
bg,10066,10066,1.654,1.8806,0.3973,0.6079,1.1153,18.1679,0.1391,0,2.6023,45.7742,0.9907,25.6574,0.9348,0.1518,1.2,9.8693,334.8647,18.5949,4
bg,10067,10067,1.6085,0.9739,0.4611,0.0516,2.9645,28.4328,2.1839,0.4868,0.9153,2.6809,0.3013,24.0046,0.4283,2.6902,0.9,11.327,98.399,1.3625,3
bg,10068,10068,1.54,2.3957,0.3928,0.193,2.5217,24.5325,0.0724,0,10.9207,2.3565,1,35.4791,1,2.2074,1.2,8.6798,203.527,36.8119,1
bg,10069,10069,1.6,2.8805,0.3998,0.2061,2.484,24.7316,0.0048,0,28.9702,0.893,1,31.6245,1,0,1.2,8.0639,187.089,29.3455,1
bg,10070,10070,1.6399,1.8816,0.3921,0.1717,2.4749,26.9117,0.1126,0.1102,5.1689,2.541,0.865,25.8066,0.9321,0.5917,0.9,9.0636,139.8335,7.6717,1
bg,10071,10071,1.65,1.4011,0.4054,0.6595,1.1757,20.1252,0.0255,0,25.0727,0.3066,1,27.8245,1,1.5039,1.2,9.0775,266.3803,25.0727,4
bg,10072,10072,1.7293,0.779,0.4301,0.5962,1.3512,23.012,0.1318,0,9.0571,0.1066,1,31,1,0,1.2,9.065,236.6345,12.4514,4
bg,10073,10073,1.59,2.196,0.409,0.2798,2.453,22.064,0,0,34.7199,0.3004,1,32.9591,1,0,1.2,7.9209,213.7515,34.7199,1
bg,10074,10074,1.64,1.6322,0.7809,0.5931,1.8446,24.8025,0.017,0,15.7556,2.2224,1,33.7438,1,0,1.2,8.2209,221.0752,49.2933,4
bg,10075,10075,1.74,1.7233,0.1849,2.3688,2.502,29.174,0.1254,1,10.8194,1.0568,0,29.8513,0.1811,0,1,8.7963,132.0535,22.701,1
bg,10076,10076,1.66,1.46,0.7406,0.0712,3.0147,29.0676,2.3821,0.5478,0.4916,30.7377,0.2624,27.8415,0.7101,2.5811,0.9,10.8975,91.4045,2.6274,2
bg,10077,10077,1.6969,2.1095,0.7167,0.3916,2.0009,28.5529,0.1005,0,8.9256,0.6253,1,34.9892,1,5.6483,0.9,8.7501,187.2564,58.368,4
bg,10078,10078,1.79,2.2946,0.3536,0.102,1.8205,29.3782,0.2785,0.1907,0,0.949,0.8054,28.2128,0.8508,0,0.9,8.7357,179.7331,19.8525,4
bg,10079,10079,1.6183,2.0117,0.3625,0.1477,2.5366,27.0611,1.408,0.6111,1.742,2.8373,0.3889,29.4376,0.7531,0.9405,1.2,9.1324,162.2981,12.4606,1
bg,10080,10080,1.6569,2.7749,0.359,0.139,2.5802,27.9758,0.2662,0.3974,5.8227,1.1144,0.1046,22.5339,0.24,2.8867,0.9,9.0829,144.3466,5.8227,1
bg,10081,10081,1.59,1.7569,0.7093,0.0672,3.0091,28.1241,0.5976,0.1519,2.7543,0.9853,0.082,27.9515,0.0164,0,0.902,9.7987,92.6591,2.7543,2
bg,10082,10082,1.6724,1.9513,0.3866,0.4923,1.1023,21.5145,0.0504,0,36.002,0.377,1,22.1532,1,1.6309,1.2,8.9705,257.0352,36.002,4
bg,10083,10083,1.74,0.2894,0.4537,0.0286,3.1138,30.2169,6.5684,0.9019,0.0261,0.3186,0.0142,21,0.22,0.3331,1.2,14.8477,81,0.2684,3
bg,10084,10084,1.8148,1.6633,0.5504,0.1138,2.3867,28.8518,0.0082,0,27.9034,0.2349,1,27.5042,1,0,0.9,9.1142,143.5439,27.9034,1
bg,10085,10085,1.6296,2.836,0.3887,0.1424,2.6028,27.5053,0.1472,0,9.6839,0.557,1,27.9328,1,0,0.9,8.3392,148.4745,51.0958,1
bg,10086,10086,1.9,0.5118,0.5949,0.6309,2.1,30.9005,3.1196,0.7142,0.6309,2.3491,0.2851,24.2296,0.4257,3.405,0.9,11.7591,139.1722,2.2661,4
